id,date,amount,description,currency
B0001,2024-05-20,13.71,Netflix,USD
B0002,2024-02-22,49.04,Adobe Creative Cloud,USD
B0003,2024-01-16,282.23,UNITED AIRLINES,USD
B0004,2024-11-04,1.83,Google *Services,USD
B0005,2024-11-28,291.09,Delta,USD
B0006,2024-05-22,54.15,Adobe Creative Cloud,USD
B0007,2024-06-23,5.29,Apple Store,USD
B0008,2024-06-21,9.14,Spotify Premium,USD
B0009,2024-07-02,21.69,UBER* TRIP,USD
B0010,2024-01-23,17.43,LYFT,USD
B0011,2024-07-12,283.98,DELTA AIR,USD
B0012,2024-11-17,300.15,DELTA AIR LINES,USD
B0013,2024-02-05,262.32,UNITED AIRLINES,USD
B0014,2024-02-10,59.49,ADOBE SYSTEMS,USD
B0015,2024-08-20,15.41,Netflix Subscription,USD
B0016,2024-04-17,4.8,Apple Store,USD
B0017,2024-03-28,23.24,UBER,USD
B0018,2024-05-18,4.93,Apple,USD
B0019,2024-01-29,74.11,Target Store,USD
B0020,2024-07-24,7.37,STARBUCKS #1042,USD
B0021,2024-10-17,20.55,UBER* TRIP,USD
B0022,2024-07-21,2.08,GOOGLE LLC,USD
B0023,2024-05-06,9.29,Spotify AB,USD
B0024,2024-10-25,282.8,United Air,USD
B0025,2024-03-11,194.52,Costco Wholesale,USD
B0026,2024-02-26,24.23,UBER,USD
B0027,2024-08-04,5.43,APPLE.COM/BILL,USD
B0028,2024-08-27,75.52,WHOLE FOODS,USD
B0029,2024-01-06,354.63,DELTA AIR,USD
B0030,2024-11-24,344.08,DELTA AIR LINES,USD
B0031,2024-03-21,15.0,NETFLIX INC,USD
B0032,2024-05-14,102.24,Amazon.com,USD
B0033,2024-11-16,118.0,VERIZON,USD
B0034,2024-03-19,108.43,VERIZON,USD
B0035,2024-09-28,5.05,APPLE.COM/BILL,USD
B0036,2024-01-10,17.76,Lyft,USD
B0037,2024-06-06,236.53,Costco,USD
B0038,2024-10-17,6.23,STARBUCKS STORE #4021,USD
B0039,2024-02-05,24.07,UBER,USD
B0040,2024-10-08,10.47,SPOTIFY,USD
B0041,2024-11-06,13.1,Microsoft Corp,USD
B0042,2024-12-19,2.25,GOOGLE,USD
B0043,2024-12-09,130.42,WAL-MART,USD
